#  r   z    drift_time (t90)
  24  39  841.3
  24  40  857.9
  24  41  875.4
  24  42  892.8
  24  43  909.4
  24  44  926.8
  24  45  944.7
  24  46  962.5
  24  47  979.8
  24  48  997.6
  24  49 1015.7
  24  50 1033.8
  25   0  263.8
  25   1  264.4
  25   2  266.0
  25   3  268.9
  25   4  275.5
  25   5  282.6
  25   6  289.8
  25   7  299.1
  25   8  309.5
  25   9  321.7
  25  10  334.4
  25  11  346.8
  25  12  361.0
  25  13  376.0
  25  14  391.8
  25  15  407.4
  25  16  425.0
  25  17  442.8
  25  18  459.9
  25  19  478.4
  25  20  497.4
  25  21  516.7
  25  22  536.3
  25  23  555.9
  25  24  575.6
  25  25  595.4
  25  26  615.1
  25  27  634.8
  25  28  654.5
  25  29  674.2
  25  30  693.7
  25  31  712.9
  25  32  731.7
  25  33  749.9
  25  34  768.2
  25  35  786.5
  25  36  804.7
  25  37  822.5
  25  38  839.2
  25  39  856.5
  25  40  874.0
  25  41  890.9
  25  42  907.5
  25  43  925.1
  25  44  942.6
  25  45  959.6
  25  46  977.4
  25  47  995.6
  25  48 1014.0
  25  49 1032.3
  25  50 1050.0
  26   0  277.7
  26   1  278.0
  26   2  279.8
  26   3  284.8
  26   4  288.9
  26   5  296.6
  26   6  305.4
  26   7  314.9
  26   8  325.1
  26   9  336.1
  26  10  347.8
  26  11  361.7
  26  12  375.7
  26  13  389.9
  26  14  406.1
  26  15  422.9
  26  16  438.8
  26  17  456.7
  26  18  475.3
  26  19  494.1
  26  20  513.0
  26  21  532.2
  26  22  551.6
  26  23  571.1
  26  24  590.7
  26  25  610.4
  26  26  629.9
  26  27  649.6
  26  28  669.4
  26  29  689.1
  26  30  708.6
  26  31  727.9
  26  32  747.0
  26  33  765.9
  26  34  784.6
  26  35  802.9
  26  36  820.4
  26  37  837.8
  26  38  855.5
  26  39  873.1
  26  40  889.5
  26  41  906.6
  26  42  924.0
  26  43  940.9
  26  44  957.8
  26  45  975.7
  26  46  993.8
  26  47 1011.9
  26  48 1029.9
  26  49 1048.4
  26  50 1067.2
  27   0  292.9
  27   1  293.5
  27   2  295.4
  27   3  298.1
  27   4  304.7
  27   5  310.9
  27   6  318.8
  27   7  328.2
  27   8  338.5
  27   9  349.8
  27  10  363.4
  27  11  376.0
  27  12  389.4
  27  13  405.2
  27  14  420.0
  27  15  436.7
  27  16  454.4
  27  17  471.9
  27  18  489.2
  27  19  507.9
  27  20  527.1
  27  21  546.6
  27  22  566.2
  27  23  586.0
  27  24  605.9
  27  25  625.8
  27  26  645.6
  27  27  665.4
  27  28  685.3
  27  29  705.1
  27  30  724.8
  27  31  744.2
  27  32  763.4
  27  33  782.2
  27  34  800.3
  27  35  818.3
  27  36  836.5
  27  37  854.6
  27  38  872.2
  27  39  888.8
  27  40  906.1
  27  41  923.5
  27  42  939.9
  27  43  957.0
  27  44  974.7
  27  45  992.5
  27  46 1010.0
  27  47 1028.3
  27  48 1047.0
  27  49 1066.1
  27  50 1085.5
  28   0  306.9
  28   1  307.1
  28   2  308.8
  28   3  313.7
  28   4  318.0
  28   5  325.8
  28   6  334.5
  28   7  343.8
  28   8  354.1
  28   9  365.2
  28  10  376.9
  28  11  389.7
  28  12  404.9
  28  13  418.7
  28  14  435.3
  28  15  451.6
  28  16  468.0
  28  17  486.1
  28  18  504.7
  28  19  523.6
  28  20  542.6
  28  21  561.9
  28  22  581.5
  28  23  601.3
  28  24  621.2
  28  25  641.1
  28  26  661.0
  28  27  680.8
  28  28  700.8
  28  29  720.6
  28  30  740.2
  28  31  759.6
  28  32  778.7
  28  33  797.7
  28  34  816.5
  28  35  835.1
  28  36  853.4
  28  37  870.9
  28  38  888.2
  28  39  905.8
  28  40  923.4
  28  41  939.8
  28  42  956.8
  28  43  974.4
  28  44  991.9
  28  45 1009.1
  28  46 1027.3
  28  47 1046.2
  28  48 1065.5
  28  49 1085.2
  28  50 1105.1
  29   0  321.2
  29   1  321.9
  29   2  324.3
  29   3  327.1
  29   4  333.4
  29   5  339.1
  29   6  347.6
  29   7  357.1
  29   8  367.4
  29   9  378.5
  29  10  391.6
  29  11  405.1
  29  12  418.2
  29  13  434.2
  29  14  448.8
  29  15  465.9
  29  16  483.5
  29  17  500.4
  29  18  518.5
  29  19  537.4
  29  20  556.7
  29  21  576.3
  29  22  596.1
  29  23  616.1
  29  24  636.1
  29  25  656.2
  29  26  676.2
  29  27  696.2
  29  28  716.2
  29  29  736.2
  29  30  756.1
  29  31  775.8
  29  32  795.2
  29  33  814.4
  29  34  833.3
  29  35  851.7
  29  36  869.3
  29  37  887.3
  29  38  905.4
  29  39  923.2
  29  40  940.0
  29  41  957.1
  29  42  974.7
  29  43  992.0
  29  44 1009.1
  29  45 1027.0
  29  46 1045.6
  29  47 1064.8
  29  48 1084.6
  29  49 1105.0
  29  50 1125.8
  30   0  335.5
  30   1  335.9
  30   2  337.5
  30   3  341.7
  30   4  346.8
  30   5  354.6
  30   6  362.8
  30   7  371.8
  30   8  382.4
  30   9  394.0
  30  10  405.9
  30  11  418.4
  30  12  433.7
